Test Case,Request Number,Latency (seconds)
1,1,0.055175065994262695
1,2,0.024569988250732422
1,3,0.025350093841552734
1,4,0.026244640350341797
1,5,0.02564716339111328
1,6,0.02129840850830078
1,7,0.027825593948364258
1,8,0.026570796966552734
1,9,0.026100873947143555
1,10,0.023273706436157227
1,11,0.026247501373291016
1,12,0.023653030395507812
1,13,0.025010347366333008
1,14,0.023379087448120117
1,15,0.02208542823791504
1,16,0.02545309066772461
1,17,0.02322983741760254
1,18,0.025763750076293945
1,19,0.022138357162475586
1,20,0.02203083038330078
1,21,0.024188518524169922
1,22,0.021829843521118164
1,23,0.025420427322387695
1,24,0.03235983848571777
1,25,0.02613663673400879
1,26,0.024761199951171875
1,27,0.022870779037475586
1,28,0.023428916931152344
1,29,0.02907705307006836
1,30,0.0215761661529541
1,31,0.022645235061645508
1,32,0.02468085289001465
1,33,0.030002117156982422
1,34,0.02327418327331543
1,35,0.024499177932739258
1,36,0.05746173858642578
1,37,0.04011273384094238
1,38,0.02408576011657715
1,39,0.0241391658782959
1,40,0.025717496871948242
1,41,0.024130582809448242
1,42,0.024192333221435547
1,43,0.02327442169189453
1,44,0.025467395782470703
1,45,0.024091482162475586
1,46,0.023059606552124023
1,47,0.023975372314453125
1,48,0.022889375686645508
1,49,0.022556781768798828
1,50,0.026083946228027344
1,51,0.032636165618896484
1,52,0.020853281021118164
1,53,0.026636123657226562
1,54,0.023598670959472656
1,55,0.023192882537841797
1,56,0.0289156436920166
1,57,0.027492523193359375
1,58,0.022577524185180664
1,59,0.03510165214538574
1,60,0.022129058837890625
1,61,0.024120569229125977
1,62,0.025321483612060547
1,63,0.030777931213378906
1,64,0.024924755096435547
1,65,0.02349567413330078
1,66,0.01907968521118164
1,67,0.02310490608215332
1,68,0.025526046752929688
1,69,0.03039264678955078
1,70,0.023265838623046875
1,71,0.026237964630126953
1,72,0.0285799503326416
1,73,0.02625274658203125
1,74,0.02495551109313965
1,75,0.02412581443786621
1,76,0.024312973022460938
1,77,0.027219772338867188
1,78,0.024269819259643555
1,79,0.021663188934326172
1,80,0.02268528938293457
1,81,0.023966073989868164
1,82,0.02722644805908203
1,83,0.02983403205871582
1,84,0.02501392364501953
1,85,0.026688814163208008
1,86,0.02091073989868164
1,87,0.02850794792175293
