Test Case,Request Number,Latency (seconds)
4,38,0.0242006778717041
4,39,0.026899337768554688
4,40,0.023862361907958984
4,41,0.024193286895751953
4,42,0.024406909942626953
4,43,0.025455951690673828
4,44,0.023410797119140625
4,45,0.022435426712036133
4,46,0.02428913116455078
4,47,0.0242006778717041
4,48,0.024628400802612305
4,49,0.02341294288635254
4,50,0.024524211883544922
4,51,0.024187564849853516
4,52,0.02579498291015625
4,53,0.024055957794189453
4,54,0.02556753158569336
4,55,0.019232988357543945
4,56,0.024977922439575195
4,57,0.017340660095214844
4,58,0.027925491333007812
4,59,0.0285491943359375
4,60,0.033176422119140625
4,61,0.03446698188781738
4,62,0.030758380889892578
4,63,0.0256655216217041
4,64,0.025617599487304688
4,65,0.022960662841796875
4,66,0.022152185440063477
4,67,0.022660017013549805
4,68,0.023490428924560547
4,69,0.023157835006713867
4,70,0.026765823364257812
4,71,0.024757862091064453
4,72,0.024964094161987305
4,73,0.01889348030090332
4,74,0.021368980407714844
4,75,0.02084660530090332
4,76,0.023710966110229492
4,77,0.02345728874206543
4,78,0.025202035903930664
4,79,0.022503137588500977
4,80,0.024105310440063477
4,81,0.02408146858215332
4,82,0.022510290145874023
4,83,0.025789737701416016
4,84,0.024300098419189453
4,85,0.02810382843017578
4,86,0.02492380142211914
4,87,0.023833274841308594
4,88,0.02328014373779297
4,89,0.030153274536132812
4,90,0.020854949951171875
4,91,0.030582189559936523
4,92,0.023751258850097656
4,93,0.022397994995117188
4,94,0.032404184341430664
4,95,0.02219414710998535
4,96,0.02536797523498535
4,97,0.02071404457092285
4,98,0.024269580841064453
4,99,0.02446770668029785
4,100,0.02326655387878418
